"","ID","Career","Gender","AdmitTerm","School","Day","Entrance","Exit"
"27",16,"PGRD","M","Semester 1 2013","SEIT","Friday","8:00-8:30","16:30-17:00"
"28",16,"PGRD","M","Semester 1 2013","SEIT","Monday","8:00-8:30","16:30-17:00"
"29",16,"PGRD","M","Semester 1 2013","SEIT","Tuesday","7:30-8:00","15:30-16:00"
"30",17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:00-8:30","16:00-16:30"
"31",17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:30-9:00","16:00-16:30"
"32",17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:00-16:30"
"33",17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:30-9:00","15:30-16:00"
"34",17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:30-17:00"
"35",18,"PGRD","M","Semester 1 2013","SEIT","Friday","7:00-7:30","15:30-16:00"
"36",18,"PGRD","M","Semester 1 2013","SEIT","Thursday","8:00-8:30","16:30-17:00"
"37",18,"PGRD","M","Semester 1 2013","SEIT","Wednesday","8:30-9:00","16:30-17:00"
"38",19,"PGRD","F","Semester 1 2017","SEIT","Friday","8:30-9:00","15:00-15:30"
"39",19,"PGRD","F","Semester 1 2017","SEIT","Thursday","8:30-9:00","17:00-17:30"
"40",19,"PGRD","F","Semester 1 2017","SEIT","Tuesday","8:30-9:00","16:00-16:30"
"41",20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Friday","8:00-8:30","17:30-18:00"
"42",20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Monday","7:00-7:30","16:00-16:30"
"43",20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:30-17:00"
"44",20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Tuesday","8:30-9:00","15:00-15:30"
"45",20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Wednesday","8:30-9:00","15:30-16:00"
"46",21,"PGRD","M","Semester 1 2017","SEIT","Friday","8:00-8:30","17:30-18:00"
"47",21,"PGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","16:00-16:30"
"48",21,"PGRD","M","Semester 1 2017","SEIT","Tuesday","9:00-9:30","15:30-16:00"
"49",22,"PGRD","M","Semester 1 2015","SEIT","Thursday","8:30-9:00","16:00-16:30"
"50",22,"PGRD","M","Semester 1 2015","SEIT","Wednesday","9:30-10:00","16:30-17:00"
"51",24,"PGRD","F","Semester 1 2018","BUS","Friday","7:00-7:30","15:00-15:30"
"52",24,"PGRD","F","Semester 1 2018","BUS","Monday","8:00-8:30","16:00-16:30"
"53",24,"PGRD","F","Semester 1 2018","BUS","Tuesday","8:30-9:00","15:30-16:00"
"54",25,"PGRD","M","Semester 1 2015","SEIT","Monday","8:00-8:30","15:30-16:00"
"55",25,"PGRD","M","Semester 1 2015","SEIT","Thursday","8:30-9:00","17:00-17:30"
"56",28,"UGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","16:30-17:00"
"57",28,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
"58",28,"UGRD","M","Semester 1 2016","SEIT","Thursday","8:00-8:30","16:00-16:30"
"59",28,"UGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","17:30-18:00"
"60",28,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:30-9:00","15:00-15:30"
"61",30,"PGRD","F","Semester 2 2016","BUS","Tuesday","8:00-8:30","16:30-17:00"
"62",31,"PGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","16:00-16:30"
"63",31,"PGRD","F","Semester 1 2016","SEIT","Thursday","8:30-9:00","15:30-16:00"
"64",32,"PGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","17:30-18:00"
"65",32,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:00-8:30","15:00-15:30"
"66",33,"PGRD","M","Semester 1 2018","HASS","Friday","8:30-9:00","16:00-16:30"
"67",35,"UGRD","F","Semester 1 2016","SEIT","Friday","8:30-9:00","16:30-17:00"
"68",35,"UGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","15:30-16:00"
"69",35,"UGRD","F","Semester 1 2016","SEIT","Thursday","8:30-9:00","16:30-17:00"
"70",35,"UGRD","F","Semester 1 2016","SEIT","Tuesday","7:00-7:30","17:30-18:00"
"71",35,"UGRD","F","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:00-15:30"
"72",37,"UGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","16:30-17:00"
"73",37,"UGRD","M","Semester 1 2016","SEIT","Monday","9:30-10:00","16:00-16:30"
"74",37,"UGRD","M","Semester 1 2016","SEIT","Thursday","8:00-8:30","15:30-16:00"
"75",37,"UGRD","M","Semester 1 2016","SEIT","Tuesday","7:00-7:30","17:00-17:30"
"76",37,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:00-15:30"
"77",38,"UGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","17:30-18:00"
"78",38,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
"79",38,"UGRD","M","Semester 1 2016","SEIT","Thursday","8:30-9:00","15:30-16:00"
"80",38,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:30-16:00"
"81",39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:00-16:30"
"82",39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","16:30-17:00"
"83",39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:30-9:00","15:00-15:30"
"84",39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","17:30-18:00"
"85",39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","7:30-8:00","16:30-17:00"
"86",40,"UGRD","M","Semester 1 2017","SEIT","Friday","8:00-8:30","16:00-16:30"
"87",40,"UGRD","M","Semester 1 2017","SEIT","Monday","7:00-7:30","16:00-16:30"
"88",40,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","16:00-16:30"
"89",40,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:30-9:00","15:30-16:00"
"90",41,"UGRD","F","Semester 1 2016","SEIT","Friday","8:30-9:00","16:00-16:30"
"91",41,"UGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","15:30-16:00"
"92",41,"UGRD","F","Semester 1 2016","SEIT","Thursday","7:30-8:00","16:00-16:30"
"93",41,"UGRD","F","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:00-15:30"
"94",42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:30-9:00","16:00-16:30"
"95",42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:30-17:00"
"96",42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","7:30-8:00","15:30-16:00"
"97",42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:30-17:00"
"98",43,"UGRD","M","Semester 1 2017","SEIT","Friday","8:00-8:30","16:30-17:00"
"99",43,"UGRD","M","Semester 1 2017","SEIT","Monday","8:30-9:00","16:00-16:30"
"100",43,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:30-9:00","15:30-16:00"
"101",43,"UGRD","M","Semester 1 2017","SEIT","Tuesday","7:00-7:30","17:00-17:30"
"102",43,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:30-9:00","16:00-16:30"
"103",44,"UGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","16:30-17:00"
"104",44,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
"105",44,"UGRD","M","Semester 1 2016","SEIT","Thursday","7:00-7:30","15:00-15:30"
"106",44,"UGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","16:30-17:00"
"107",47,"UGRD","M","Semester 1 2018","SEIT","Friday","8:00-8:30","15:00-15:30"
"108",47,"UGRD","M","Semester 1 2018","SEIT","Monday","8:00-8:30","16:00-16:30"
"109",47,"UGRD","M","Semester 1 2018","SEIT","Thursday","8:00-8:30","15:30-16:00"
"110",47,"UGRD","M","Semester 1 2018","SEIT","Tuesday","8:00-8:30","17:30-18:00"
"111",47,"UGRD","M","Semester 1 2018","SEIT","Wednesday","7:00-7:30","17:00-17:30"
"112",51,"UGRD","F","Semester 1 2017","SEIT","Friday","8:30-9:00","16:00-16:30"
"113",51,"UGRD","F","Semester 1 2017","SEIT","Monday","8:00-8:30","16:00-16:30"
"114",51,"UGRD","F","Semester 1 2017","SEIT","Thursday","8:30-9:00","16:30-17:00"
"115",51,"UGRD","F","Semester 1 2017","SEIT","Tuesday","8:30-9:00","16:00-16:30"
"116",51,"UGRD","F","Semester 1 2017","SEIT","Wednesday","9:30-10:00","15:00-15:30"
"117",52,"PGRD","F","Semester 2 2014","BUS","Tuesday","8:30-9:00","16:30-17:00"
"118",54,"UGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","15:30-16:00"
"119",54,"UGRD","F","Semester 1 2016","SEIT","Thursday","8:00-8:30","15:30-16:00"
"120",54,"UGRD","F","Semester 1 2016","SEIT","Tuesday","8:30-9:00","15:30-16:00"
"121",54,"UGRD","F","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"122",55,"PGRD","F","Semester 1 2016","BUS","Friday","8:00-8:30","15:00-15:30"
"123",56,"UGRD","M","Semester 2 2018","SEIT","Friday","8:00-8:30","16:00-16:30"
"124",56,"UGRD","M","Semester 2 2018","SEIT","Monday","8:00-8:30","17:00-17:30"
"125",56,"UGRD","M","Semester 2 2018","SEIT","Thursday","7:00-7:30","16:30-17:00"
"126",56,"UGRD","M","Semester 2 2018","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"127",56,"UGRD","M","Semester 2 2018","SEIT","Wednesday","8:00-8:30","17:00-17:30"
"128",57,"UGRD","F","Semester 1 Canberra 2020","HASS","Friday","8:30-9:00","15:30-16:00"
"129",57,"UGRD","F","Semester 1 Canberra 2020","HASS","Wednesday","8:30-9:00","15:00-15:30"
"130",58,"UGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","15:00-15:30"
"131",58,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:00-16:30"
"132",58,"UGRD","M","Semester 1 2016","SEIT","Thursday","9:00-9:30","16:30-17:00"
"133",58,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"134",59,"PGRD","M","Semester 1 2016","BUS","Friday","8:30-9:00","16:00-16:30"
"135",59,"PGRD","M","Semester 1 2016","BUS","Monday","8:00-8:30","16:00-16:30"
"136",59,"PGRD","M","Semester 1 2016","BUS","Thursday","7:30-8:00","16:30-17:00"
"137",59,"PGRD","M","Semester 1 2016","BUS","Tuesday","8:30-9:00","16:00-16:30"
"138",59,"PGRD","M","Semester 1 2016","BUS","Wednesday","8:30-9:00","16:30-17:00"
"139",60,"PGRD","M","Semester 2 2016","SEIT","Wednesday","7:30-8:00","16:30-17:00"
"140",62,"PGRD","M","Semester 2 2014","SEIT","Friday","8:00-8:30","16:30-17:00"
"141",62,"PGRD","M","Semester 2 2014","SEIT","Monday","8:00-8:30","16:00-16:30"
"142",62,"PGRD","M","Semester 2 2014","SEIT","Thursday","8:00-8:30","16:00-16:30"
"143",62,"PGRD","M","Semester 2 2014","SEIT","Tuesday","7:30-8:00","16:30-17:00"
"144",62,"PGRD","M","Semester 2 2014","SEIT","Wednesday","8:30-9:00","16:30-17:00"
"145",65,"UGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","16:30-17:00"
"146",65,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
"147",65,"UGRD","M","Semester 1 2016","SEIT","Saturday","8:30-9:00","16:00-16:30"
"148",65,"UGRD","M","Semester 1 2016","SEIT","Sunday","8:00-8:30","16:30-17:00"
"149",65,"UGRD","M","Semester 1 2016","SEIT","Thursday","9:00-9:30","16:00-16:30"
"150",65,"UGRD","M","Semester 1 2016","SEIT","Tuesday","8:00-8:30","15:00-15:30"
"151",65,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:30-17:00"
"152",66,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","9:00-9:30","16:30-17:00"
"153",67,"PGRD","M","Semester 1 2017","SEIT","Tuesday","8:00-8:30","17:30-18:00"
"154",67,"PGRD","M","Semester 1 2017","SEIT","Wednesday","8:00-8:30","15:00-15:30"
"155",68,"PGRD","M","Semester 1 2016","HASS","Friday","8:00-8:30","17:00-17:30"
"156",68,"PGRD","M","Semester 1 2016","HASS","Tuesday","8:30-9:00","16:00-16:30"
"157",68,"PGRD","M","Semester 1 2016","HASS","Wednesday","9:30-10:00","15:30-16:00"
"158",71,"PGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:00-16:30"
"159",71,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","15:30-16:00"
"160",71,"PGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"161",79,"PGRD","M","Semester 1 2015","BUS","Monday","8:30-9:00","16:00-16:30"
"162",79,"PGRD","M","Semester 1 2015","BUS","Thursday","8:00-8:30","17:00-17:30"
"163",79,"PGRD","M","Semester 1 2015","BUS","Tuesday","8:00-8:30","15:30-16:00"
"164",79,"PGRD","M","Semester 1 2015","BUS","Wednesday","8:30-9:00","15:00-15:30"
"165",81,"PGRD","M","Semester 1 2014","HASS","Monday","8:30-9:00","16:30-17:00"
"166",81,"PGRD","M","Semester 1 2014","HASS","Tuesday","8:30-9:00","17:00-17:30"
"167",81,"PGRD","M","Semester 1 2014","HASS","Wednesday","8:00-8:30","15:00-15:30"
"168",82,"PGRD","M","Semester 1 2016","SEIT","Monday","9:00-9:30","15:30-16:00"
"169",83,"PGRD","M","Semester 1 2015","SEIT","Friday","8:30-9:00","15:30-16:00"
"170",83,"PGRD","M","Semester 1 2015","SEIT","Thursday","7:30-8:00","15:00-15:30"
"171",83,"PGRD","M","Semester 1 2015","SEIT","Tuesday","8:00-8:30","15:30-16:00"
"172",85,"PGRD","M","Semester 1 2016","SEIT","Thursday","8:00-8:30","16:00-16:30"
"173",87,"PGRD","F","Semester 1 2016","BUS","Friday","8:00-8:30","16:30-17:00"
"174",87,"PGRD","F","Semester 1 2016","BUS","Monday","8:30-9:00","17:00-17:30"
"175",87,"PGRD","F","Semester 1 2016","BUS","Wednesday","8:00-8:30","16:30-17:00"
"176",88,"PGRD","M","Semester 2 2016","BUS","Friday","8:00-8:30","16:00-16:30"
"177",88,"PGRD","M","Semester 2 2016","BUS","Monday","8:00-8:30","15:30-16:00"
"178",88,"PGRD","M","Semester 2 2016","BUS","Wednesday","8:30-9:00","16:00-16:30"
"179",93,"PGRD","M","Semester 1 2015","SEIT","Thursday","8:00-8:30","16:00-16:30"
"180",93,"PGRD","M","Semester 1 2015","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"181",94,"UGRD","M","Semester 1 2016","SEIT","Thursday","9:00-9:30","15:00-15:30"
"182",95,"UGRD","M","Semester 1 2018","SEIT","Friday","7:00-7:30","16:00-16:30"
"183",95,"UGRD","M","Semester 1 2018","SEIT","Monday","8:00-8:30","16:30-17:00"
"184",95,"UGRD","M","Semester 1 2018","SEIT","Thursday","8:00-8:30","16:30-17:00"
"185",95,"UGRD","M","Semester 1 2018","SEIT","Tuesday","8:00-8:30","15:30-16:00"
"186",95,"UGRD","M","Semester 1 2018","SEIT","Wednesday","8:00-8:30","15:30-16:00"
"187",96,"UGRD","M","Semester 1 2017","SEIT","Friday","8:30-9:00","16:30-17:00"
"188",96,"UGRD","M","Semester 1 2017","SEIT","Monday","8:30-9:00","15:00-15:30"
"189",96,"UGRD","M","Semester 1 2017","SEIT","Saturday","8:00-8:30","15:30-16:00"
"190",96,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","15:00-15:30"
"191",96,"UGRD","M","Semester 1 2017","SEIT","Tuesday","8:30-9:00","15:30-16:00"
"192",96,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:00-8:30","15:00-15:30"
"193",97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:00-16:30"
"194",97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","15:30-16:00"
"195",97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:30-9:00","16:30-17:00"
"196",97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"197",97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","15:30-16:00"
"198",98,"PGRD","M","Semester 1 2016","SEIT","Friday","7:30-8:00","15:30-16:00"
"199",98,"PGRD","M","Semester 1 2016","SEIT","Monday","8:30-9:00","16:00-16:30"
"200",98,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","15:30-16:00"
"201",99,"PGRD","M","Semester 1 2016","BUS","Tuesday","8:00-8:30","16:30-17:00"
"202",101,"PGRD","M","Semester 2 2015","SEIT","Wednesday","8:30-9:00","16:30-17:00"
"203",102,"PGRD","M","Semester 2 2015","SEIT","Friday","8:30-9:00","16:00-16:30"
"204",102,"PGRD","M","Semester 2 2015","SEIT","Monday","8:30-9:00","16:00-16:30"
"205",102,"PGRD","M","Semester 2 2015","SEIT","Thursday","9:30-10:00","16:00-16:30"
"206",103,"PGRD","F","Semester 1 2018","SEIT","Friday","7:30-8:00","15:00-15:30"
"207",103,"PGRD","F","Semester 1 2018","SEIT","Monday","8:00-8:30","16:00-16:30"
"208",103,"PGRD","F","Semester 1 2018","SEIT","Thursday","8:00-8:30","17:00-17:30"
"209",103,"PGRD","F","Semester 1 2018","SEIT","Tuesday","8:30-9:00","16:00-16:30"
"210",103,"PGRD","F","Semester 1 2018","SEIT","Wednesday","8:00-8:30","15:30-16:00"
"211",104,"PGRD","M","Semester 1 2016","HASS","Thursday","8:30-9:00","15:30-16:00"
"212",105,"PGRD","M","Semester 2 2015","BUS","Friday","8:00-8:30","15:00-15:30"
"213",105,"PGRD","M","Semester 2 2015","BUS","Monday","8:00-8:30","16:00-16:30"
"214",106,"PGRD","M","Semester 1 2015","BUS","Friday","8:00-8:30","15:30-16:00"
"215",106,"PGRD","M","Semester 1 2015","BUS","Wednesday","8:30-9:00","16:30-17:00"
"216",110,"PGRD","M","Semester 1 2015","BUS","Friday","8:00-8:30","16:00-16:30"
"217",110,"PGRD","M","Semester 1 2015","BUS","Thursday","8:00-8:30","16:30-17:00"
"218",110,"PGRD","M","Semester 1 2015","BUS","Tuesday","8:30-9:00","16:00-16:30"
"219",110,"PGRD","M","Semester 1 2015","BUS","Wednesday","8:00-8:30","15:30-16:00"
"220",111,"PGRD","M","Semester 1 Canberra 2019","SEIT","Friday","8:00-8:30","15:00-15:30"
"221",111,"PGRD","M","Semester 1 Canberra 2019","SEIT","Monday","8:30-9:00","16:30-17:00"
"222",111,"PGRD","M","Semester 1 Canberra 2019","SEIT","Thursday","8:30-9:00","16:00-16:30"
"223",111,"PGRD","M","Semester 1 Canberra 2019","SEIT","Tuesday","8:30-9:00","16:00-16:30"
"224",111,"PGRD","M","Semester 1 Canberra 2019","SEIT","Wednesday","8:00-8:30","16:30-17:00"
"225",112,"PGRD","F","Semester 2 2015","SEIT","Friday","8:30-9:00","16:00-16:30"
"226",112,"PGRD","F","Semester 2 2015","SEIT","Thursday","8:30-9:00","16:00-16:30"
"227",114,"PGRD","M","Semester 1 2015","BUS","Friday","8:30-9:00","15:30-16:00"
"228",114,"PGRD","M","Semester 1 2015","BUS","Monday","8:00-8:30","16:30-17:00"
"229",114,"PGRD","M","Semester 1 2015","BUS","Thursday","8:00-8:30","15:30-16:00"
"230",114,"PGRD","M","Semester 1 2015","BUS","Tuesday","8:00-8:30","17:30-18:00"
"231",114,"PGRD","M","Semester 1 2015","BUS","Wednesday","8:00-8:30","15:30-16:00"
"232",115,"PGRD","M","Semester 2 2014","HASS","Friday","8:30-9:00","16:00-16:30"
"233",116,"PGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","16:00-16:30"
"234",116,"PGRD","M","Semester 1 2016","SEIT","Monday","8:30-9:00","16:30-17:00"
"235",118,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:30-17:00"
"236",118,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","9:00-9:30","17:30-18:00"
"237",118,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:00-16:30"
"238",118,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","7:30-8:00","16:30-17:00"
"239",119,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:00-16:30"
"240",119,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:00-16:30"
"241",119,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"242",119,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"243",123,"PGRD","M","Semester 1 2016","BUS","Tuesday","8:00-8:30","17:30-18:00"
"244",123,"PGRD","M","Semester 1 2016","BUS","Wednesday","8:30-9:00","16:00-16:30"
"245",125,"PGRD","M","Semester 1 2017","SEIT","Thursday","8:30-9:00","15:30-16:00"
"246",126,"PGRD","M","Semester 2 2016","HASS","Monday","8:00-8:30","16:00-16:30"
"247",126,"PGRD","M","Semester 2 2016","HASS","Tuesday","8:30-9:00","16:00-16:30"
"248",126,"PGRD","M","Semester 2 2016","HASS","Wednesday","8:00-8:30","15:30-16:00"
"249",127,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:00-8:30","16:30-17:00"
"250",127,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","16:30-17:00"
"251",127,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","15:30-16:00"
"252",127,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","9:00-9:30","16:30-17:00"
"253",127,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:30-9:00","16:00-16:30"
"254",128,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"255",128,"PGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"256",130,"PGRD","M","Semester 1 2016","SEIT","Monday","8:30-9:00","16:00-16:30"
"257",130,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","16:00-16:30"
"258",130,"PGRD","M","Semester 1 2016","SEIT","Wednesday","8:30-9:00","16:00-16:30"
"259",131,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","15:30-16:00"
"260",131,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","17:30-18:00"
"261",131,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","15:30-16:00"
"262",131,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"263",132,"PGRD","M","Semester 2 2014","SEIT","Friday","8:30-9:00","16:30-17:00"
"264",132,"PGRD","M","Semester 2 2014","SEIT","Tuesday","8:30-9:00","16:00-16:30"
"265",134,"PGRD","F","Semester 1 2015","SEIT","Thursday","8:00-8:30","16:00-16:30"
"266",135,"PGRD","F","Semester 1 2014","BUS","Monday","8:30-9:00","17:00-17:30"
"267",135,"PGRD","F","Semester 1 2014","BUS","Wednesday","8:00-8:30","16:30-17:00"
"268",136,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:30-9:00","16:00-16:30"
"269",136,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"270",136,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","15:30-16:00"
"271",137,"PGRD","M","Semester 1 2016","SEIT","Thursday","8:30-9:00","16:00-16:30"
"272",137,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","16:00-16:30"
"273",138,"PGRD","M","Semester 2 2017","SEIT","Friday","9:00-9:30","17:30-18:00"
"274",138,"PGRD","M","Semester 2 2017","SEIT","Monday","8:00-8:30","16:00-16:30"
"275",138,"PGRD","M","Semester 2 2017","SEIT","Thursday","8:00-8:30","16:00-16:30"
"276",140,"PGRD","F","Semester 1 2017","HASS","Friday","8:00-8:30","16:00-16:30"
"277",140,"PGRD","F","Semester 1 2017","HASS","Monday","8:00-8:30","16:00-16:30"
"278",142,"PGRD","F","Semester 1 2016","HASS","Monday","8:00-8:30","16:30-17:00"
"279",142,"PGRD","F","Semester 1 2016","HASS","Tuesday","8:30-9:00","16:00-16:30"
