ID,JobTitle,FulltimeParttime,PositionTitle,AcademicProfessional,Level,School,Day,Entrance,Exit
5,Senior Lecturer,Full-Time,(Leave) Senior Lecturer,Academic,C,SEIT,Thursday,8:00-8:30,15:30-16:00
5,Senior Lecturer,Full-Time,(Leave) Senior Lecturer,Academic,C,SEIT,Tuesday,8:30-9:00,17:30-18:00
6,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Friday,8:00-8:30,16:30-17:00
6,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Tuesday,8:00-8:30,16:30-17:00
6,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Wednesday,8:30-9:00,16:30-17:00
7,ADFA Administrative,Full-Time,Senior Client Service Officer,Professional,2,SEIT,Friday,8:30-9:00,16:00-16:30
7,ADFA Administrative,Full-Time,Senior Client Service Officer,Professional,2,SEIT,Monday,8:30-9:00,16:30-17:00
7,ADFA Administrative,Full-Time,Senior Client Service Officer,Professional,2,SEIT,Thursday,8:00-8:30,15:30-16:00
7,ADFA Administrative,Full-Time,Senior Client Service Officer,Professional,2,SEIT,Tuesday,8:30-9:00,16:30-17:00
7,ADFA Administrative,Full-Time,Senior Client Service Officer,Professional,2,SEIT,Wednesday,8:30-9:00,17:00-17:30
8,Senior Lecturer,Part-Time,Senior Lecturer,Academic,C,SEIT,Friday,8:00-8:30,17:00-17:30
8,Senior Lecturer,Part-Time,Senior Lecturer,Academic,C,SEIT,Monday,8:00-8:30,16:00-16:30
8,Senior Lecturer,Part-Time,Senior Lecturer,Academic,C,SEIT,Thursday,8:00-8:30,16:00-16:30
8,Senior Lecturer,Part-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,8:30-9:00,16:30-17:00
8,Senior Lecturer,Part-Time,Senior Lecturer,Academic,C,SEIT,Wednesday,8:30-9:00,16:30-17:00
9,ADFA Administrative,Full-Time,ACCS Centre Manager,Professional,4,SEIT,Friday,8:30-9:00,16:30-17:00
9,ADFA Administrative,Full-Time,ACCS Centre Manager,Professional,4,SEIT,Monday,8:00-8:30,16:00-16:30
9,ADFA Administrative,Full-Time,ACCS Centre Manager,Professional,4,SEIT,Thursday,8:30-9:00,17:00-17:30
9,ADFA Administrative,Full-Time,ACCS Centre Manager,Professional,4,SEIT,Tuesday,7:30-8:00,15:00-15:30
9,ADFA Administrative,Full-Time,ACCS Centre Manager,Professional,4,SEIT,Wednesday,9:00-9:30,16:00-16:30
10,ADFA Technical Staff,Full-Time,Professional Engineer,Professional,8,SEIT,Friday,8:00-8:30,16:30-17:00
10,ADFA Technical Staff,Full-Time,Professional Engineer,Professional,8,SEIT,Monday,8:00-8:30,16:00-16:30
10,ADFA Technical Staff,Full-Time,Professional Engineer,Professional,8,SEIT,Thursday,8:30-9:00,15:30-16:00
10,ADFA Technical Staff,Full-Time,Professional Engineer,Professional,8,SEIT,Tuesday,8:30-9:00,16:00-16:30
10,ADFA Technical Staff,Full-Time,Professional Engineer,Professional,8,SEIT,Wednesday,9:00-9:30,16:30-17:00
11,Research Staff Level B,Full-Time,Research Associate,Academic,D,SEIT,Friday,8:30-9:00,16:30-17:00
11,Research Staff Level B,Full-Time,Research Associate,Academic,D,SEIT,Thursday,8:00-8:30,16:30-17:00
11,Research Staff Level B,Full-Time,Research Associate,Academic,D,SEIT,Wednesday,8:30-9:00,17:00-17:30
12,ADFA Administrative,Full-Time,Administration Manager,Professional,7,SEIT,Friday,8:30-9:00,16:30-17:00
12,ADFA Administrative,Full-Time,Administration Manager,Professional,7,SEIT,Monday,8:00-8:30,17:00-17:30
12,ADFA Administrative,Full-Time,Administration Manager,Professional,7,SEIT,Thursday,8:30-9:00,17:00-17:30
12,ADFA Administrative,Full-Time,Administration Manager,Professional,7,SEIT,Tuesday,8:30-9:00,16:30-17:00
12,ADFA Administrative,Full-Time,Administration Manager,Professional,7,SEIT,Wednesday,8:00-8:30,17:00-17:30
13,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Friday,8:00-8:30,16:30-17:00
13,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Monday,8:00-8:30,16:00-16:30
13,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Thursday,8:00-8:30,16:30-17:00
13,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,8:00-8:30,16:30-17:00
13,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Wednesday,9:00-9:30,16:30-17:00
14,Professor,Full-Time,Professor,Academic,E,SEIT,Monday,8:00-8:30,16:30-17:00
14,Professor,Full-Time,Professor,Academic,E,SEIT,Thursday,7:30-8:00,16:30-17:00
14,Professor,Full-Time,Professor,Academic,E,SEIT,Wednesday,7:00-7:30,16:00-16:30
15,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Friday,8:00-8:30,17:00-17:30
15,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Monday,7:00-7:30,16:00-16:30
15,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Thursday,8:30-9:00,15:00-15:30
15,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Tuesday,8:30-9:00,16:30-17:00
16,ADFA Administrative,Full-Time,Client Service Officer,Professional,4,SEIT,Friday,9:00-9:30,17:00-17:30
16,ADFA Administrative,Full-Time,Client Service Officer,Professional,4,SEIT,Monday,8:00-8:30,15:00-15:30
16,ADFA Administrative,Full-Time,Client Service Officer,Professional,4,SEIT,Thursday,8:30-9:00,17:00-17:30
16,ADFA Administrative,Full-Time,Client Service Officer,Professional,4,SEIT,Tuesday,8:00-8:30,16:30-17:00
16,ADFA Administrative,Full-Time,Client Service Officer,Professional,4,SEIT,Wednesday,8:00-8:30,16:30-17:00
17,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Friday,8:00-8:30,15:00-15:30
17,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Monday,8:00-8:30,16:00-16:30
17,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Thursday,8:00-8:30,16:00-16:30
17,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Tuesday,8:00-8:30,16:00-16:30
17,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Wednesday,7:30-8:00,16:30-17:00
18,ADFA Technical Staff,Full-Time,Electronics Engineering Lead,Professional,6,SEIT,Friday,8:00-8:30,16:30-17:00
18,ADFA Technical Staff,Full-Time,Electronics Engineering Lead,Professional,6,SEIT,Monday,8:30-9:00,17:30-18:00
18,ADFA Technical Staff,Full-Time,Electronics Engineering Lead,Professional,6,SEIT,Saturday,8:00-8:30,16:30-17:00
18,ADFA Technical Staff,Full-Time,Electronics Engineering Lead,Professional,6,SEIT,Thursday,8:30-9:00,15:00-15:30
18,ADFA Technical Staff,Full-Time,Electronics Engineering Lead,Professional,6,SEIT,Tuesday,8:00-8:30,16:30-17:00
18,ADFA Technical Staff,Full-Time,Electronics Engineering Lead,Professional,6,SEIT,Wednesday,8:00-8:30,17:00-17:30
19,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Friday,8:30-9:00,16:00-16:30
19,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Monday,8:00-8:30,17:00-17:30
19,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Thursday,8:30-9:00,16:00-16:30
19,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Tuesday,8:30-9:00,17:00-17:30
19,Associate Professor,Full-Time,Associate Professor,Academic,D,SEIT,Wednesday,8:30-9:00,16:00-16:30
20,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Friday,8:30-9:00,17:00-17:30
20,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Monday,8:00-8:30,16:00-16:30
20,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Thursday,8:00-8:30,16:00-16:30
21,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Friday,8:30-9:00,15:30-16:00
21,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Monday,8:00-8:30,16:00-16:30
21,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Thursday,8:30-9:00,17:00-17:30
21,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Tuesday,8:00-8:30,16:30-17:00
21,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Wednesday,8:00-8:30,16:00-16:30
22,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Friday,8:30-9:00,16:30-17:00
22,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Monday,8:00-8:30,16:00-16:30
22,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Thursday,7:30-8:00,17:00-17:30
22,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Tuesday,8:00-8:30,15:30-16:00
22,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Wednesday,8:30-9:00,15:30-16:00
23,ADFA Technical Staff,Full-Time,Technical Officer Electronics,Professional,3,SEIT,Friday,8:00-8:30,16:30-17:00
23,ADFA Technical Staff,Full-Time,Technical Officer Electronics,Professional,3,SEIT,Monday,8:00-8:30,16:30-17:00
23,ADFA Technical Staff,Full-Time,Technical Officer Electronics,Professional,3,SEIT,Sunday,8:30-9:00,16:30-17:00
23,ADFA Technical Staff,Full-Time,Technical Officer Electronics,Professional,3,SEIT,Thursday,8:00-8:30,15:30-16:00
23,ADFA Technical Staff,Full-Time,Technical Officer Electronics,Professional,3,SEIT,Tuesday,8:00-8:30,17:00-17:30
23,ADFA Technical Staff,Full-Time,Technical Officer Electronics,Professional,3,SEIT,Wednesday,8:30-9:00,16:30-17:00
24,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Monday,8:30-9:00,17:00-17:30
24,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,8:00-8:30,16:30-17:00
24,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Wednesday,8:00-8:30,16:30-17:00
25,Professor,Full-Time,Professor,Academic,E,SEIT,Friday,8:30-9:00,16:00-16:30
25,Professor,Full-Time,Professor,Academic,E,SEIT,Monday,8:30-9:00,16:00-16:30
25,Professor,Full-Time,Professor,Academic,E,SEIT,Thursday,8:30-9:00,17:00-17:30
25,Professor,Full-Time,Professor,Academic,E,SEIT,Tuesday,8:00-8:30,15:00-15:30
25,Professor,Full-Time,Professor,Academic,E,SEIT,Wednesday,8:00-8:30,15:30-16:00
26,ADFA Administrative,Full-Time,Client Service Officer,Professional,8,SEIT,Friday,8:30-9:00,16:00-16:30
26,ADFA Administrative,Full-Time,Client Service Officer,Professional,8,SEIT,Monday,7:00-7:30,16:00-16:30
26,ADFA Administrative,Full-Time,Client Service Officer,Professional,8,SEIT,Thursday,8:30-9:00,16:00-16:30
26,ADFA Administrative,Full-Time,Client Service Officer,Professional,8,SEIT,Tuesday,8:00-8:30,16:00-16:30
26,ADFA Administrative,Full-Time,Client Service Officer,Professional,8,SEIT,Wednesday,8:00-8:30,15:00-15:30
27,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Monday,7:00-7:30,16:30-17:00
27,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Thursday,8:00-8:30,17:30-18:00
27,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,9:00-9:30,16:00-16:30
27,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Wednesday,8:30-9:00,17:00-17:30
28,ADFA Administrative,Full-Time,Technical Officer - Electrical,Professional,6,SEIT,Friday,8:00-8:30,15:00-15:30
28,ADFA Administrative,Full-Time,Technical Officer - Electrical,Professional,6,SEIT,Monday,8:00-8:30,15:00-15:30
28,ADFA Administrative,Full-Time,Technical Officer - Electrical,Professional,6,SEIT,Thursday,8:30-9:00,17:00-17:30
28,ADFA Administrative,Full-Time,Technical Officer - Electrical,Professional,6,SEIT,Tuesday,8:00-8:30,16:00-16:30
28,ADFA Administrative,Full-Time,Technical Officer - Electrical,Professional,6,SEIT,Wednesday,7:30-8:00,16:30-17:00
29,ADFA Technical Staff,Full-Time,Senior Technical Specialist,Professional,4,SEIT,Friday,8:30-9:00,16:30-17:00
29,ADFA Technical Staff,Full-Time,Senior Technical Specialist,Professional,4,SEIT,Monday,8:30-9:00,16:30-17:00
29,ADFA Technical Staff,Full-Time,Senior Technical Specialist,Professional,4,SEIT,Thursday,8:00-8:30,16:30-17:00
29,ADFA Technical Staff,Full-Time,Senior Technical Specialist,Professional,4,SEIT,Tuesday,7:30-8:00,16:30-17:00
30,Deputy Head of School,Full-Time,Deputy Head (Teaching),Academic,D,SEIT,Friday,8:00-8:30,17:00-17:30
30,Deputy Head of School,Full-Time,Deputy Head (Teaching),Academic,D,SEIT,Monday,8:00-8:30,16:00-16:30
30,Deputy Head of School,Full-Time,Deputy Head (Teaching),Academic,D,SEIT,Thursday,7:30-8:00,16:00-16:30
30,Deputy Head of School,Full-Time,Deputy Head (Teaching),Academic,D,SEIT,Tuesday,8:30-9:00,15:30-16:00
30,Deputy Head of School,Full-Time,Deputy Head (Teaching),Academic,D,SEIT,Wednesday,8:30-9:00,16:30-17:00
31,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Friday,8:30-9:00,16:00-16:30
31,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Monday,8:00-8:30,16:00-16:30
31,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Thursday,8:00-8:30,16:30-17:00
31,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,8:30-9:00,16:30-17:00
31,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Wednesday,7:00-7:30,16:30-17:00
32,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Friday,8:30-9:00,17:00-17:30
32,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Thursday,7:30-8:00,15:30-16:00
32,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,9:00-9:30,16:00-16:30
33,Deputy Head of School,Full-Time,Deputy Head (Administration),Academic,D,SEIT,Friday,8:30-9:00,15:30-16:00
33,Deputy Head of School,Full-Time,Deputy Head (Administration),Academic,D,SEIT,Monday,8:30-9:00,17:00-17:30
33,Deputy Head of School,Full-Time,Deputy Head (Administration),Academic,D,SEIT,Thursday,8:00-8:30,16:00-16:30
33,Deputy Head of School,Full-Time,Deputy Head (Administration),Academic,D,SEIT,Tuesday,8:30-9:00,16:30-17:00
33,Deputy Head of School,Full-Time,Deputy Head (Administration),Academic,D,SEIT,Wednesday,8:30-9:00,17:00-17:30
34,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Friday,9:30-10:00,16:00-16:30
34,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Monday,8:00-8:30,16:00-16:30
34,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Thursday,8:00-8:30,16:00-16:30
34,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Tuesday,8:00-8:30,16:00-16:30
34,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Wednesday,8:00-8:30,17:00-17:30
35,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Friday,8:00-8:30,16:30-17:00
35,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Monday,8:00-8:30,16:00-16:30
35,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Thursday,8:00-8:30,16:00-16:30
35,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,8:30-9:00,16:30-17:00
35,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Wednesday,8:00-8:30,16:00-16:30
36,Scientia Fellow (Level D),Full-Time,Scientia Fellow,Academic,D,SEIT,Friday,8:00-8:30,15:30-16:00
36,Scientia Fellow (Level D),Full-Time,Scientia Fellow,Academic,D,SEIT,Thursday,8:00-8:30,15:30-16:00
36,Scientia Fellow (Level D),Full-Time,Scientia Fellow,Academic,D,SEIT,Tuesday,8:00-8:30,16:30-17:00
37,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Friday,8:00-8:30,16:30-17:00
37,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Monday,8:00-8:30,16:30-17:00
37,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Thursday,8:00-8:30,17:00-17:30
37,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Tuesday,8:30-9:00,17:00-17:30
37,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Wednesday,8:30-9:00,16:00-16:30
38,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Friday,8:30-9:00,16:00-16:30
38,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Monday,8:00-8:30,16:30-17:00
38,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Thursday,8:30-9:00,17:00-17:30
38,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Tuesday,8:30-9:00,16:30-17:00
38,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Wednesday,8:00-8:30,16:00-16:30
39,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Friday,8:30-9:00,16:00-16:30
39,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Monday,8:30-9:00,16:00-16:30
40,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,9:00-9:30,15:00-15:30
40,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Wednesday,8:30-9:00,16:00-16:30
41,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Friday,8:00-8:30,16:00-16:30
41,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Thursday,8:30-9:00,16:30-17:00
41,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Tuesday,8:00-8:30,15:30-16:00
41,Senior Research Associate,Full-Time,Senior Research Associate,Academic,A,SEIT,Wednesday,9:00-9:30,17:30-18:00
42,Postdoctoral Fellow,Full-Time,Postdoctoral Fellow,Academic,A,SEIT,Friday,8:00-8:30,15:00-15:30
42,Postdoctoral Fellow,Full-Time,Postdoctoral Fellow,Academic,A,SEIT,Monday,8:30-9:00,16:30-17:00
42,Postdoctoral Fellow,Full-Time,Postdoctoral Fellow,Academic,A,SEIT,Thursday,9:00-9:30,15:00-15:30
42,Postdoctoral Fellow,Full-Time,Postdoctoral Fellow,Academic,A,SEIT,Tuesday,8:00-8:30,16:00-16:30
42,Postdoctoral Fellow,Full-Time,Postdoctoral Fellow,Academic,A,SEIT,Wednesday,8:30-9:00,16:00-16:30
43,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Friday,8:00-8:30,16:00-16:30
43,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Monday,8:00-8:30,16:30-17:00
43,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Thursday,9:00-9:30,16:00-16:30
43,Senior Lecturer,Full-Time,Senior Lecturer,Academic,C,SEIT,Tuesday,8:00-8:30,16:30-17:00
44,ADFA Administrative,Full-Time,Technical Officer,Professional,2,SEIT,Friday,8:30-9:00,17:30-18:00
44,ADFA Administrative,Full-Time,Technical Officer,Professional,2,SEIT,Monday,8:00-8:30,16:30-17:00
44,ADFA Administrative,Full-Time,Technical Officer,Professional,2,SEIT,Thursday,8:00-8:30,16:30-17:00
44,ADFA Administrative,Full-Time,Technical Officer,Professional,2,SEIT,Wednesday,8:30-9:00,16:00-16:30
45,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Friday,8:00-8:30,16:30-17:00
45,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Thursday,9:00-9:30,15:30-16:00
45,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Tuesday,8:30-9:00,17:00-17:30
45,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Wednesday,8:30-9:00,15:00-15:30
46,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Friday,8:00-8:30,16:30-17:00
46,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Monday,8:30-9:00,16:00-16:30
46,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Thursday,8:00-8:30,16:30-17:00
46,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Tuesday,8:30-9:00,16:30-17:00
46,ADFA Technical Staff,Full-Time,Space Systems Engineer,Professional,3,SEIT,Wednesday,8:00-8:30,15:30-16:00
47,Professor,Full-Time,Professor,Academic,E,SEIT,Monday,8:00-8:30,16:00-16:30
47,Professor,Full-Time,Professor,Academic,E,SEIT,Wednesday,8:00-8:30,15:00-15:30
48,Postdoctoral Fellow,Part-Time,Postdoc - Surrogate Modelling,Academic,A,SEIT,Friday,9:00-9:30,16:00-16:30
48,Postdoctoral Fellow,Part-Time,Postdoc - Surrogate Modelling,Academic,A,SEIT,Monday,8:00-8:30,15:30-16:00
48,Postdoctoral Fellow,Part-Time,Postdoc - Surrogate Modelling,Academic,A,SEIT,Thursday,8:30-9:00,16:30-17:00
48,Postdoctoral Fellow,Part-Time,Postdoc - Surrogate Modelling,Academic,A,SEIT,Tuesday,8:00-8:30,16:30-17:00
49,Research Associate,Part-Time,Research Associate,Academic,A,SEIT,Friday,8:30-9:00,15:30-16:00
49,Research Associate,Part-Time,Research Associate,Academic,A,SEIT,Monday,8:30-9:00,17:00-17:30
49,Research Associate,Part-Time,Research Associate,Academic,A,SEIT,Thursday,8:00-8:30,16:30-17:00
49,Research Associate,Part-Time,Research Associate,Academic,A,SEIT,Tuesday,8:00-8:30,15:00-15:30
49,Research Associate,Part-Time,Research Associate,Academic,A,SEIT,Wednesday,8:30-9:00,16:30-17:00
50,Research Staff Level B,Full-Time,Research Staff Level B,Academic,D,SEIT,Friday,8:00-8:30,16:00-16:30
50,Research Staff Level B,Full-Time,Research Staff Level B,Academic,D,SEIT,Monday,9:30-10:00,16:30-17:00
50,Research Staff Level B,Full-Time,Research Staff Level B,Academic,D,SEIT,Thursday,8:30-9:00,16:00-16:30
50,Research Staff Level B,Full-Time,Research Staff Level B,Academic,D,SEIT,Tuesday,8:00-8:30,17:30-18:00
51,ADFA Administrative,Full-Time,Client Service Officer,Professional,7,SEIT,Friday,8:30-9:00,16:30-17:00
51,ADFA Administrative,Full-Time,Client Service Officer,Professional,7,SEIT,Monday,8:00-8:30,17:00-17:30
51,ADFA Administrative,Full-Time,Client Service Officer,Professional,7,SEIT,Thursday,8:30-9:00,16:30-17:00
51,ADFA Administrative,Full-Time,Client Service Officer,Professional,7,SEIT,Tuesday,8:00-8:30,17:00-17:30
51,ADFA Administrative,Full-Time,Client Service Officer,Professional,7,SEIT,Wednesday,8:30-9:00,17:00-17:30
52,Professor,Full-Time,Professor,Academic,E,SEIT,Friday,8:00-8:30,16:30-17:00
52,Professor,Full-Time,Professor,Academic,E,SEIT,Monday,8:30-9:00,16:30-17:00
52,Professor,Full-Time,Professor,Academic,E,SEIT,Tuesday,8:30-9:00,16:00-16:30
52,Professor,Full-Time,Professor,Academic,E,SEIT,Wednesday,8:00-8:30,16:30-17:00
53,Research Associate,Full-Time,Research Associate - Optical,Academic,A,SEIT,Friday,8:00-8:30,15:00-15:30
53,Research Associate,Full-Time,Research Associate - Optical,Academic,A,SEIT,Monday,8:30-9:00,16:30-17:00
53,Research Associate,Full-Time,Research Associate - Optical,Academic,A,SEIT,Tuesday,9:00-9:30,17:00-17:30
53,Research Associate,Full-Time,Research Associate - Optical,Academic,A,SEIT,Wednesday,8:30-9:00,17:00-17:30
54,ADFA Administrative,Full-Time,Project Support Officer,Professional,3,SEIT,Friday,8:00-8:30,15:00-15:30
54,ADFA Administrative,Full-Time,Project Support Officer,Professional,3,SEIT,Monday,8:00-8:30,16:30-17:00
54,ADFA Administrative,Full-Time,Project Support Officer,Professional,3,SEIT,Thursday,8:30-9:00,17:00-17:30
54,ADFA Administrative,Full-Time,Project Support Officer,Professional,3,SEIT,Tuesday,8:00-8:30,16:00-16:30
54,ADFA Administrative,Full-Time,Project Support Officer,Professional,3,SEIT,Wednesday,8:30-9:00,17:00-17:30
55,Senior Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Friday,8:30-9:00,16:00-16:30
55,Senior Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Monday,8:00-8:30,17:00-17:30
55,Senior Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Thursday,8:30-9:00,17:00-17:30
55,Senior Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Tuesday,8:00-8:30,15:30-16:00
55,Senior Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Wednesday,8:30-9:00,17:00-17:30
56,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Friday,7:00-7:30,15:30-16:00
56,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Monday,9:00-9:30,16:30-17:00
56,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Thursday,8:00-8:30,16:00-16:30
56,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Tuesday,9:30-10:00,17:00-17:30
56,Lecturer,Full-Time,Lecturer,Academic,B,SEIT,Wednesday,8:00-8:30,16:00-16:30
57,Research Associate,Full-Time,Research Associate,Academic,A,SEIT,Thursday,8:00-8:30,17:30-18:00
