"ID","Career","Gender","AdmitTerm","School","Day","Entrance","Exit"
17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:00-8:30","16:00-16:30"
17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:30-9:00","16:00-16:30"
17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:00-16:30"
17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:30-9:00","15:30-16:00"
17,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:30-17:00"
18,"PGRD","M","Semester 1 2013","SEIT","Friday","7:00-7:30","15:30-16:00"
18,"PGRD","M","Semester 1 2013","SEIT","Thursday","8:00-8:30","16:30-17:00"
18,"PGRD","M","Semester 1 2013","SEIT","Wednesday","8:30-9:00","16:30-17:00"
19,"PGRD","F","Semester 1 2017","SEIT","Friday","8:30-9:00","15:00-15:30"
19,"PGRD","F","Semester 1 2017","SEIT","Thursday","8:30-9:00","17:00-17:30"
19,"PGRD","F","Semester 1 2017","SEIT","Tuesday","8:30-9:00","16:00-16:30"
20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Friday","8:00-8:30","17:30-18:00"
20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Monday","7:00-7:30","16:00-16:30"
20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:30-17:00"
20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Tuesday","8:30-9:00","15:00-15:30"
20,"PGRD","F","Semester 1 Canberra 2020","SEIT","Wednesday","8:30-9:00","15:30-16:00"
21,"PGRD","M","Semester 1 2017","SEIT","Friday","8:00-8:30","17:30-18:00"
21,"PGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","16:00-16:30"
21,"PGRD","M","Semester 1 2017","SEIT","Tuesday","9:00-9:30","15:30-16:00"
22,"PGRD","M","Semester 1 2015","SEIT","Thursday","8:30-9:00","16:00-16:30"
22,"PGRD","M","Semester 1 2015","SEIT","Wednesday","9:30-10:00","16:30-17:00"
23,"PGRD","M","Semester 1 2015","HASS","Friday","8:30-9:00","15:30-16:00"
23,"PGRD","M","Semester 1 2015","HASS","Monday","8:00-8:30","16:30-17:00"
23,"PGRD","M","Semester 1 2015","HASS","Tuesday","8:00-8:30","16:00-16:30"
23,"PGRD","M","Semester 1 2015","HASS","Wednesday","8:30-9:00","16:00-16:30"
24,"PGRD","F","Semester 1 2018","BUS","Friday","7:00-7:30","15:00-15:30"
24,"PGRD","F","Semester 1 2018","BUS","Monday","8:00-8:30","16:00-16:30"
24,"PGRD","F","Semester 1 2018","BUS","Tuesday","8:30-9:00","15:30-16:00"
25,"PGRD","M","Semester 1 2015","SEIT","Monday","8:00-8:30","15:30-16:00"
25,"PGRD","M","Semester 1 2015","SEIT","Thursday","8:30-9:00","17:00-17:30"
26,"PGRD","M","Semester 1 2016","BUS","Monday","8:30-9:00","16:30-17:00"
26,"PGRD","M","Semester 1 2016","BUS","Tuesday","8:30-9:00","15:30-16:00"
27,"PGRD","M","Semester 1 2016","BUS","Tuesday","9:00-9:30","17:00-17:30"
27,"PGRD","M","Semester 1 2016","BUS","Wednesday","8:00-8:30","16:30-17:00"
28,"UGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","16:30-17:00"
28,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
28,"UGRD","M","Semester 1 2016","SEIT","Thursday","8:00-8:30","16:00-16:30"
28,"UGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","17:30-18:00"
28,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:30-9:00","15:00-15:30"
29,"PGRD","M","Semester 1 2016","HASS","Friday","8:00-8:30","17:00-17:30"
29,"PGRD","M","Semester 1 2016","HASS","Wednesday","8:30-9:00","16:30-17:00"
30,"PGRD","F","Semester 2 2016","BUS","Tuesday","8:00-8:30","16:30-17:00"
31,"PGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","16:00-16:30"
31,"PGRD","F","Semester 1 2016","SEIT","Thursday","8:30-9:00","15:30-16:00"
32,"PGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","17:30-18:00"
32,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:00-8:30","15:00-15:30"
33,"PGRD","M","Semester 1 2018","HASS","Friday","8:30-9:00","16:00-16:30"
34,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:30-9:00","16:00-16:30"
35,"UGRD","F","Semester 1 2016","SEIT","Friday","8:30-9:00","16:30-17:00"
35,"UGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","15:30-16:00"
35,"UGRD","F","Semester 1 2016","SEIT","Thursday","8:30-9:00","16:30-17:00"
35,"UGRD","F","Semester 1 2016","SEIT","Tuesday","7:00-7:30","17:30-18:00"
35,"UGRD","F","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:00-15:30"
36,"UGRD","M","Semester 1 2018","SCI","Friday","8:30-9:00","16:30-17:00"
36,"UGRD","M","Semester 1 2018","SCI","Monday","8:30-9:00","15:00-15:30"
36,"UGRD","M","Semester 1 2018","SCI","Thursday","8:30-9:00","15:30-16:00"
36,"UGRD","M","Semester 1 2018","SCI","Tuesday","8:00-8:30","15:30-16:00"
36,"UGRD","M","Semester 1 2018","SCI","Wednesday","7:00-7:30","15:30-16:00"
37,"UGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","16:30-17:00"
37,"UGRD","M","Semester 1 2016","SEIT","Monday","9:30-10:00","16:00-16:30"
37,"UGRD","M","Semester 1 2016","SEIT","Thursday","8:00-8:30","15:30-16:00"
37,"UGRD","M","Semester 1 2016","SEIT","Tuesday","7:00-7:30","17:00-17:30"
37,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:00-15:30"
38,"UGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","17:30-18:00"
38,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
38,"UGRD","M","Semester 1 2016","SEIT","Thursday","8:30-9:00","15:30-16:00"
38,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:30-16:00"
39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:00-16:30"
39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","16:30-17:00"
39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:30-9:00","15:00-15:30"
39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","17:30-18:00"
39,"UGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","7:30-8:00","16:30-17:00"
40,"UGRD","M","Semester 1 2017","SEIT","Friday","8:00-8:30","16:00-16:30"
40,"UGRD","M","Semester 1 2017","SEIT","Monday","7:00-7:30","16:00-16:30"
40,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","16:00-16:30"
40,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:30-9:00","15:30-16:00"
41,"UGRD","F","Semester 1 2016","SEIT","Friday","8:30-9:00","16:00-16:30"
41,"UGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","15:30-16:00"
41,"UGRD","F","Semester 1 2016","SEIT","Thursday","7:30-8:00","16:00-16:30"
41,"UGRD","F","Semester 1 2016","SEIT","Wednesday","8:00-8:30","15:00-15:30"
42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:30-9:00","16:00-16:30"
42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:00-8:30","16:30-17:00"
42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","7:30-8:00","15:30-16:00"
42,"UGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:30-17:00"
43,"UGRD","M","Semester 1 2017","SEIT","Friday","8:00-8:30","16:30-17:00"
43,"UGRD","M","Semester 1 2017","SEIT","Monday","8:30-9:00","16:00-16:30"
43,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:30-9:00","15:30-16:00"
43,"UGRD","M","Semester 1 2017","SEIT","Tuesday","7:00-7:30","17:00-17:30"
43,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:30-9:00","16:00-16:30"
44,"UGRD","M","Semester 1 2016","SEIT","Friday","8:30-9:00","16:30-17:00"
44,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
44,"UGRD","M","Semester 1 2016","SEIT","Thursday","7:00-7:30","15:00-15:30"
44,"UGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","16:30-17:00"
46,"UGRD","M","Semester 1 2017","SEIT","Friday","8:00-8:30","16:00-16:30"
46,"UGRD","M","Semester 1 2017","SEIT","Monday","8:30-9:00","16:00-16:30"
46,"UGRD","M","Semester 1 2017","SEIT","Saturday","8:00-8:30","16:00-16:30"
46,"UGRD","M","Semester 1 2017","SEIT","Sunday","8:00-8:30","16:00-16:30"
46,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","16:30-17:00"
46,"UGRD","M","Semester 1 2017","SEIT","Tuesday","8:30-9:00","15:30-16:00"
46,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:30-9:00","15:30-16:00"
47,"UGRD","M","Semester 1 2018","SEIT","Friday","8:00-8:30","15:00-15:30"
47,"UGRD","M","Semester 1 2018","SEIT","Monday","8:00-8:30","16:00-16:30"
47,"UGRD","M","Semester 1 2018","SEIT","Thursday","8:00-8:30","15:30-16:00"
47,"UGRD","M","Semester 1 2018","SEIT","Tuesday","8:00-8:30","17:30-18:00"
47,"UGRD","M","Semester 1 2018","SEIT","Wednesday","7:00-7:30","17:00-17:30"
48,"UGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","16:00-16:30"
48,"UGRD","M","Semester 1 2016","SEIT","Monday","8:30-9:00","16:00-16:30"
48,"UGRD","M","Semester 1 2016","SEIT","Thursday","9:30-10:00","16:00-16:30"
48,"UGRD","M","Semester 1 2016","SEIT","Tuesday","9:00-9:30","16:00-16:30"
48,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:30-9:00","15:30-16:00"
49,"PGRD","F","Semester 1 2016","BUS","Monday","8:00-8:30","16:00-16:30"
49,"PGRD","F","Semester 1 2016","BUS","Thursday","8:00-8:30","16:00-16:30"
49,"PGRD","F","Semester 1 2016","BUS","Tuesday","8:30-9:00","15:00-15:30"
50,"PGRD","F","Semester 1 2016","BUS","Monday","8:30-9:00","16:00-16:30"
50,"PGRD","F","Semester 1 2016","BUS","Thursday","8:00-8:30","17:00-17:30"
50,"PGRD","F","Semester 1 2016","BUS","Tuesday","8:00-8:30","16:30-17:00"
51,"UGRD","F","Semester 1 2017","SEIT","Friday","8:30-9:00","16:00-16:30"
51,"UGRD","F","Semester 1 2017","SEIT","Monday","8:00-8:30","16:00-16:30"
51,"UGRD","F","Semester 1 2017","SEIT","Thursday","8:30-9:00","16:30-17:00"
51,"UGRD","F","Semester 1 2017","SEIT","Tuesday","8:30-9:00","16:00-16:30"
51,"UGRD","F","Semester 1 2017","SEIT","Wednesday","9:30-10:00","15:00-15:30"
52,"PGRD","F","Semester 2 2014","BUS","Tuesday","8:30-9:00","16:30-17:00"
53,"UGRD","M","Semester 1 2017","SEIT","Friday","8:30-9:00","16:30-17:00"
53,"UGRD","M","Semester 1 2017","SEIT","Monday","8:30-9:00","17:30-18:00"
53,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:30-9:00","16:00-16:30"
53,"UGRD","M","Semester 1 2017","SEIT","Tuesday","8:30-9:00","17:30-18:00"
53,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:00-8:30","16:00-16:30"
54,"UGRD","F","Semester 1 2016","SEIT","Monday","8:00-8:30","15:30-16:00"
54,"UGRD","F","Semester 1 2016","SEIT","Thursday","8:00-8:30","15:30-16:00"
54,"UGRD","F","Semester 1 2016","SEIT","Tuesday","8:30-9:00","15:30-16:00"
54,"UGRD","F","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:00-16:30"
55,"PGRD","F","Semester 1 2016","BUS","Friday","8:00-8:30","15:00-15:30"
56,"UGRD","M","Semester 2 2018","SEIT","Friday","8:00-8:30","16:00-16:30"
56,"UGRD","M","Semester 2 2018","SEIT","Monday","8:00-8:30","17:00-17:30"
56,"UGRD","M","Semester 2 2018","SEIT","Thursday","7:00-7:30","16:30-17:00"
56,"UGRD","M","Semester 2 2018","SEIT","Tuesday","8:00-8:30","16:00-16:30"
56,"UGRD","M","Semester 2 2018","SEIT","Wednesday","8:00-8:30","17:00-17:30"
57,"UGRD","F","Semester 1 Canberra 2020","HASS","Friday","8:30-9:00","15:30-16:00"
57,"UGRD","F","Semester 1 Canberra 2020","HASS","Wednesday","8:30-9:00","15:00-15:30"
58,"UGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","15:00-15:30"
58,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:00-16:30"
58,"UGRD","M","Semester 1 2016","SEIT","Thursday","9:00-9:30","16:30-17:00"
58,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:00-16:30"
59,"PGRD","M","Semester 1 2016","BUS","Friday","8:30-9:00","16:00-16:30"
59,"PGRD","M","Semester 1 2016","BUS","Monday","8:00-8:30","16:00-16:30"
59,"PGRD","M","Semester 1 2016","BUS","Thursday","7:30-8:00","16:30-17:00"
59,"PGRD","M","Semester 1 2016","BUS","Tuesday","8:30-9:00","16:00-16:30"
59,"PGRD","M","Semester 1 2016","BUS","Wednesday","8:30-9:00","16:30-17:00"
60,"PGRD","M","Semester 2 2016","SEIT","Wednesday","7:30-8:00","16:30-17:00"
61,"PGRD","M","Semester 1 2016","SEIT","Thursday","8:30-9:00","16:30-17:00"
61,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","15:30-16:00"
61,"PGRD","M","Semester 1 2016","SEIT","Wednesday","8:30-9:00","16:00-16:30"
62,"PGRD","M","Semester 2 2014","SEIT","Friday","8:00-8:30","16:30-17:00"
62,"PGRD","M","Semester 2 2014","SEIT","Monday","8:00-8:30","16:00-16:30"
62,"PGRD","M","Semester 2 2014","SEIT","Thursday","8:00-8:30","16:00-16:30"
62,"PGRD","M","Semester 2 2014","SEIT","Tuesday","7:30-8:00","16:30-17:00"
62,"PGRD","M","Semester 2 2014","SEIT","Wednesday","8:30-9:00","16:30-17:00"
63,"PGRD","F","Semester 1 2015","BUS","Thursday","8:00-8:30","15:00-15:30"
64,"PGRD","M","Semester 2 2013","SEIT","Friday","8:00-8:30","15:00-15:30"
64,"PGRD","M","Semester 2 2013","SEIT","Monday","7:30-8:00","17:30-18:00"
64,"PGRD","M","Semester 2 2013","SEIT","Thursday","8:30-9:00","16:00-16:30"
64,"PGRD","M","Semester 2 2013","SEIT","Tuesday","8:30-9:00","17:30-18:00"
64,"PGRD","M","Semester 2 2013","SEIT","Wednesday","9:00-9:30","16:00-16:30"
65,"UGRD","M","Semester 1 2016","SEIT","Friday","8:00-8:30","16:30-17:00"
65,"UGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:30-17:00"
65,"UGRD","M","Semester 1 2016","SEIT","Saturday","8:30-9:00","16:00-16:30"
65,"UGRD","M","Semester 1 2016","SEIT","Sunday","8:00-8:30","16:30-17:00"
65,"UGRD","M","Semester 1 2016","SEIT","Thursday","9:00-9:30","16:00-16:30"
65,"UGRD","M","Semester 1 2016","SEIT","Tuesday","8:00-8:30","15:00-15:30"
65,"UGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:30-17:00"
66,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","9:00-9:30","16:30-17:00"
67,"PGRD","M","Semester 1 2017","SEIT","Tuesday","8:00-8:30","17:30-18:00"
67,"PGRD","M","Semester 1 2017","SEIT","Wednesday","8:00-8:30","15:00-15:30"
68,"PGRD","M","Semester 1 2016","HASS","Friday","8:00-8:30","17:00-17:30"
68,"PGRD","M","Semester 1 2016","HASS","Tuesday","8:30-9:00","16:00-16:30"
68,"PGRD","M","Semester 1 2016","HASS","Wednesday","9:30-10:00","15:30-16:00"
69,"PGRD","M","Semester 1 2018","SEIT","Monday","8:00-8:30","15:30-16:00"
69,"PGRD","M","Semester 1 2018","SEIT","Thursday","8:00-8:30","16:30-17:00"
69,"PGRD","M","Semester 1 2018","SEIT","Tuesday","7:30-8:00","16:00-16:30"
69,"PGRD","M","Semester 1 2018","SEIT","Wednesday","8:30-9:00","15:30-16:00"
70,"UGRD","M","Semester 1 2015","SEIT","Friday","8:30-9:00","16:30-17:00"
70,"UGRD","M","Semester 1 2015","SEIT","Monday","8:00-8:30","17:00-17:30"
70,"UGRD","M","Semester 1 2015","SEIT","Thursday","8:00-8:30","16:00-16:30"
70,"UGRD","M","Semester 1 2015","SEIT","Tuesday","8:00-8:30","16:30-17:00"
70,"UGRD","M","Semester 1 2015","SEIT","Wednesday","8:00-8:30","16:00-16:30"
71,"PGRD","M","Semester 1 2016","SEIT","Monday","8:00-8:30","16:00-16:30"
71,"PGRD","M","Semester 1 2016","SEIT","Tuesday","8:30-9:00","15:30-16:00"
71,"PGRD","M","Semester 1 2016","SEIT","Wednesday","8:00-8:30","16:00-16:30"
73,"PGRD","M","Semester 2 2015","SEIT","Friday","8:00-8:30","16:00-16:30"
73,"PGRD","M","Semester 2 2015","SEIT","Thursday","8:30-9:00","17:00-17:30"
73,"PGRD","M","Semester 2 2015","SEIT","Tuesday","8:30-9:00","15:30-16:00"
73,"PGRD","M","Semester 2 2015","SEIT","Wednesday","8:30-9:00","16:00-16:30"
76,"PGRD","M","Semester 2 2013","SEIT","Friday","8:30-9:00","16:00-16:30"
76,"PGRD","M","Semester 2 2013","SEIT","Thursday","8:00-8:30","16:00-16:30"
79,"PGRD","M","Semester 1 2015","BUS","Monday","8:30-9:00","16:00-16:30"
79,"PGRD","M","Semester 1 2015","BUS","Thursday","8:00-8:30","17:00-17:30"
79,"PGRD","M","Semester 1 2015","BUS","Tuesday","8:00-8:30","15:30-16:00"
79,"PGRD","M","Semester 1 2015","BUS","Wednesday","8:30-9:00","15:00-15:30"
80,"PGRD","M","Semester 1 2017","SEIT","Friday","8:30-9:00","16:30-17:00"
80,"PGRD","M","Semester 1 2017","SEIT","Monday","8:30-9:00","16:30-17:00"
80,"PGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","16:00-16:30"
80,"PGRD","M","Semester 1 2017","SEIT","Tuesday","8:00-8:30","16:30-17:00"
80,"PGRD","M","Semester 1 2017","SEIT","Wednesday","8:30-9:00","15:30-16:00"
81,"PGRD","M","Semester 1 2014","HASS","Monday","8:30-9:00","16:30-17:00"
81,"PGRD","M","Semester 1 2014","HASS","Tuesday","8:30-9:00","17:00-17:30"
81,"PGRD","M","Semester 1 2014","HASS","Wednesday","8:00-8:30","15:00-15:30"
82,"PGRD","M","Semester 1 2016","SEIT","Monday","9:00-9:30","15:30-16:00"
83,"PGRD","M","Semester 1 2015","SEIT","Friday","8:30-9:00","15:30-16:00"
83,"PGRD","M","Semester 1 2015","SEIT","Thursday","7:30-8:00","15:00-15:30"
83,"PGRD","M","Semester 1 2015","SEIT","Tuesday","8:00-8:30","15:30-16:00"
84,"PGRD","M","Semester 2 2017","HASS","Friday","8:00-8:30","16:00-16:30"
84,"PGRD","M","Semester 2 2017","HASS","Monday","8:30-9:00","17:00-17:30"
84,"PGRD","M","Semester 2 2017","HASS","Tuesday","8:30-9:00","15:00-15:30"
84,"PGRD","M","Semester 2 2017","HASS","Wednesday","7:30-8:00","15:00-15:30"
85,"PGRD","M","Semester 1 2016","SEIT","Thursday","8:00-8:30","16:00-16:30"
87,"PGRD","F","Semester 1 2016","BUS","Friday","8:00-8:30","16:30-17:00"
87,"PGRD","F","Semester 1 2016","BUS","Monday","8:30-9:00","17:00-17:30"
87,"PGRD","F","Semester 1 2016","BUS","Wednesday","8:00-8:30","16:30-17:00"
88,"PGRD","M","Semester 2 2016","BUS","Friday","8:00-8:30","16:00-16:30"
88,"PGRD","M","Semester 2 2016","BUS","Monday","8:00-8:30","15:30-16:00"
88,"PGRD","M","Semester 2 2016","BUS","Wednesday","8:30-9:00","16:00-16:30"
90,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:30-9:00","16:00-16:30"
91,"PGRD","M","Semester 1 2015","BUS","Monday","8:30-9:00","16:00-16:30"
91,"PGRD","M","Semester 1 2015","BUS","Tuesday","7:30-8:00","16:00-16:30"
92,"UGRD","M","Semester 1 2015","SCI","Friday","8:30-9:00","15:00-15:30"
92,"UGRD","M","Semester 1 2015","SCI","Monday","8:00-8:30","16:00-16:30"
92,"UGRD","M","Semester 1 2015","SCI","Thursday","8:30-9:00","17:00-17:30"
92,"UGRD","M","Semester 1 2015","SCI","Tuesday","8:30-9:00","17:00-17:30"
92,"UGRD","M","Semester 1 2015","SCI","Wednesday","9:00-9:30","15:30-16:00"
93,"PGRD","M","Semester 1 2015","SEIT","Thursday","8:00-8:30","16:00-16:30"
93,"PGRD","M","Semester 1 2015","SEIT","Tuesday","8:00-8:30","16:00-16:30"
94,"UGRD","M","Semester 1 2016","SEIT","Thursday","9:00-9:30","15:00-15:30"
95,"UGRD","M","Semester 1 2018","SEIT","Friday","7:00-7:30","16:00-16:30"
95,"UGRD","M","Semester 1 2018","SEIT","Monday","8:00-8:30","16:30-17:00"
95,"UGRD","M","Semester 1 2018","SEIT","Thursday","8:00-8:30","16:30-17:00"
95,"UGRD","M","Semester 1 2018","SEIT","Tuesday","8:00-8:30","15:30-16:00"
95,"UGRD","M","Semester 1 2018","SEIT","Wednesday","8:00-8:30","15:30-16:00"
96,"UGRD","M","Semester 1 2017","SEIT","Friday","8:30-9:00","16:30-17:00"
96,"UGRD","M","Semester 1 2017","SEIT","Monday","8:30-9:00","15:00-15:30"
96,"UGRD","M","Semester 1 2017","SEIT","Saturday","8:00-8:30","15:30-16:00"
96,"UGRD","M","Semester 1 2017","SEIT","Thursday","8:00-8:30","15:00-15:30"
96,"UGRD","M","Semester 1 2017","SEIT","Tuesday","8:30-9:00","15:30-16:00"
96,"UGRD","M","Semester 1 2017","SEIT","Wednesday","8:00-8:30","15:00-15:30"
97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:00-16:30"
97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","15:30-16:00"
97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:30-9:00","16:30-17:00"
97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","16:30-17:00"
97,"UGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","15:30-16:00"
98,"PGRD","M","Semester 1 2016","SEIT","Friday","7:30-8:00","15:30-16:00"
98,"PGRD","M","Semester 1 2016","SEIT","Monday","8:30-9:00","16:00-16:30"
